Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
08/12/19;So.;u.U.;Leganés;Celta Vigo;;;;;;
08/12/19;So.;u.U.;Granada;Alavés;;;;;;
08/12/19;So.;u.U.;Eibar;Getafe;;;;;;
08/12/19;So.;u.U.;Real Betis;Athletic;;;;;;
08/12/19;So.;u.U.;Barcelona;Mallorca;;;;;;
100.KHW
15/12/19;So.;u.U.;Alavés;Leganés;;;;;;
15/12/19;So.;u.U.;Athletic;Eibar;;;;;;
15/12/19;So.;u.U.;Atlético;Osasuna;;;;;;
15/12/19;So.;u.U.;Celta Vigo;Mallorca;;;;;;
15/12/19;So.;u.U.;Espanyol;Real Betis;;;;;;
15/12/19;So.;u.U.;Getafe;Valladolid;;;;;;
15/12/19;So.;u.U.;Granada;Levante;;;;;;
15/12/19;So.;u.U.;R. Sociedad;Barcelona;;;;;;
15/12/19;So.;u.U.;Sevilla;Villarreal;;;;;;
15/12/19;So.;u.U.;Valencia;Real Madrid;;;;;;
101.KHW
18/12/19;Mi.;u.U.;Barcelona;Real Madrid;;;;;;
102.KHW
22/12/19;So.;u.U.;Real Betis;Atlético;;;;;;
22/12/19;So.;u.U.;Leganés;Espanyol;;;;;;
22/12/19;So.;u.U.;Levante;Celta Vigo;;;;;;
22/12/19;So.;u.U.;Mallorca;Sevilla;;;;;;
22/12/19;So.;u.U.;Osasuna;R. Sociedad;;;;;;
22/12/19;So.;u.U.;Real Madrid;Athletic;;;;;;
22/12/19;So.;u.U.;Villarreal;Getafe;;;;;;
22/12/19;So.;u.U.;Valladolid;Valencia;;;;;;
22/12/19;So.;u.U.;Eibar;Granada;;;;;;
22/12/19;So.;u.U.;Barcelona;Alavés;;;;;;
1.KHW
05/01/20;So.;u.U.;R. Sociedad;Villarreal;;;;;;
05/01/20;So.;u.U.;Valladolid;Leganés;;;;;;
05/01/20;So.;u.U.;Valencia;Eibar;;;;;;
05/01/20;So.;u.U.;Sevilla;Athletic;;;;;;
05/01/20;So.;u.U.;Espanyol;Barcelona;;;;;;
05/01/20;So.;u.U.;Granada;Mallorca;;;;;;
05/01/20;So.;u.U.;Getafe;Real Madrid;;;;;;
05/01/20;So.;u.U.;Celta Vigo;Osasuna;;;;;;
05/01/20;So.;u.U.;Atlético;Levante;;;;;;
05/01/20;So.;u.U.;Alavés;Real Betis;;;;;;
5.KHW
19/01/20;So.;u.U.;Mallorca;Valencia;;;;;;
19/01/20;So.;u.U.;Villarreal;Espanyol;;;;;;
19/01/20;So.;u.U.;Real Madrid;Sevilla;;;;;;
19/01/20;So.;u.U.;Osasuna;Valladolid;;;;;;
19/01/20;So.;u.U.;Athletic;Celta Vigo;;;;;;
19/01/20;So.;u.U.;Levante;Alavés;;;;;;
19/01/20;So.;u.U.;Barcelona;Granada;;;;;;
19/01/20;So.;u.U.;Eibar;Atlético;;;;;;
19/01/20;So.;u.U.;Real Betis;R. Sociedad;;;;;;
19/01/20;So.;u.U.;Leganés;Getafe;;;;;;
7.KHW
26/01/20;So.;u.U.;Valladolid;Real Madrid;;;;;;
26/01/20;So.;u.U.;Valencia;Barcelona;;;;;;
26/01/20;So.;u.U.;Sevilla;Granada;;;;;;
26/01/20;So.;u.U.;R. Sociedad;Mallorca;;;;;;
26/01/20;So.;u.U.;Osasuna;Levante;;;;;;
26/01/20;So.;u.U.;Getafe;Real Betis;;;;;;
26/01/20;So.;u.U.;Espanyol;Athletic;;;;;;
26/01/20;So.;u.U.;Celta Vigo;Eibar;;;;;;
